"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1611639488983","main.py",""
"k","t","","98","1612205014038","task1.py",""
"e"," ","","98","1612205014303","task1.py",""
"k"," ","","99","1612205014303","task1.py",""
"a","EditorChange","","","1612205031501","task1.py",""
"a","EditorChange","","","1612205049613","task1.py",""
"a","Enter","","","1612205053737","task1.py",""
"e","
","","105","1612205053751","task1.py",""
"e","M","","105","1612205054360","task1.py",""
"k","M","","106","1612205054360","task1.py",""
"e","o","","106","1612205054552","task1.py",""
"k","o","","107","1612205054564","task1.py",""
"e","t","","107","1612205054664","task1.py",""
"k","t","","108","1612205054686","task1.py",""
"a","Backspace","","","1612205055284","task1.py",""
"e","","t","107","1612205055299","task1.py",""
"a","Backspace","","","1612205055447","task1.py",""
"e","","o","106","1612205055460","task1.py",""
"a","Backspace","","","1612205055598","task1.py",""
"e","","M","105","1612205055609","task1.py",""
"e","m","","105","1612205055882","task1.py",""
"k","m","","106","1612205055882","task1.py",""
"e","o","","106","1612205056112","task1.py",""
"k","o","","107","1612205056127","task1.py",""
"e","n","","107","1612205056544","task1.py",""
"k","n","","108","1612205056563","task1.py",""
"e","t","","108","1612205056688","task1.py",""
"k","t","","109","1612205056689","task1.py",""
"e","h","","109","1612205056830","task1.py",""
"k","h","","110","1612205056831","task1.py",""
"e","l","","110","1612205057291","task1.py",""
"k","l","","111","1612205057293","task1.py",""
"e","y","","111","1612205057433","task1.py",""
"k","y","","112","1612205057434","task1.py",""
"e","P","","112","1612205058367","task1.py",""
"k","P","","113","1612205058369","task1.py",""
"a","Tab","","","1612205059216","task1.py",""
"e","    ","","113","1612205059231","task1.py",""
"e","=","","117","1612205065866","task1.py",""
"k","=","","118","1612205065867","task1.py",""
"e"," ","","118","1612205065981","task1.py",""
"k"," ","","119","1612205065982","task1.py",""
"a","Backspace","","","1612205066589","task1.py",""
"e",""," ","118","1612205066598","task1.py",""
"a","Backspace","","","1612205066674","task1.py",""
"e","","=","117","1612205066682","task1.py",""
"a","Backspace","","","1612205066830","task1.py",""
"e",""," ","116","1612205066843","task1.py",""
"a","Backspace","","","1612205067183","task1.py",""
"e",""," ","115","1612205067194","task1.py",""
"a","Backspace","","","1612205067593","task1.py",""
"e",""," ","114","1612205067602","task1.py",""
"a","Backspace","","","1612205068035","task1.py",""
"e",""," ","113","1612205068050","task1.py",""
"e"," ","","113","1612205068550","task1.py",""
"k"," ","","114","1612205068550","task1.py",""
"e","=","","114","1612205068848","task1.py",""
"k","=","","115","1612205068849","task1.py",""
"e"," ","","115","1612205068941","task1.py",""
"k"," ","","116","1612205068942","task1.py",""
"e","I","","116","1612205070195","task1.py",""
"k","I","","117","1612205070196","task1.py",""
"a","Backspace","","","1612205070631","task1.py",""
"e","","I","116","1612205070642","task1.py",""
"a","Backspace","","","1612205070793","task1.py",""
"e",""," ","115","1612205070808","task1.py",""
"e"," ","","115","1612205071420","task1.py",""
"k"," ","","116","1612205071421","task1.py",""
"e","i","","116","1612205071637","task1.py",""
"k","i","","117","1612205071637","task1.py",""
"e","n","","117","1612205071785","task1.py",""
"k","n","","118","1612205071796","task1.py",""
"e","p","","118","1612205072046","task1.py",""
"k","p","","119","1612205072055","task1.py",""
"e","u","","119","1612205072226","task1.py",""
