e,"# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
",,0,1611774420254,main.py
e,o,,118,1611774558804,task1.py
k,o,,119,1611774558804,task1.py
e,n,,119,1611774558877,task1.py
k,n,,120,1611774558877,task1.py
e,t,,120,1611774559093,task1.py
k,t,,121,1611774559094,task1.py
e,h,,121,1611774559168,task1.py
k,h,,122,1611774559169,task1.py
e,l,,122,1611774559562,task1.py
k,l,,123,1611774559563,task1.py
e,y,,123,1611774559700,task1.py
k,y,,124,1611774559701,task1.py
e, ,,124,1611774560604,task1.py
k, ,,125,1611774560605,task1.py
e,P,,125,1611774561024,task1.py
k,P,,126,1611774561025,task1.py
e,a,,126,1611774561281,task1.py
k,a,,127,1611774561282,task1.py
e,y,,127,1611774561399,task1.py
k,y,,128,1611774561400,task1.py
e,m,,128,1611774562132,task1.py
k,m,,129,1611774562133,task1.py
e,e,,129,1611774562224,task1.py
k,e,,130,1611774562225,task1.py
e,n,,130,1611774562297,task1.py
k,n,,131,1611774562298,task1.py
e,t,,131,1611774562431,task1.py
k,t,,132,1611774562432,task1.py
e,L,,132,1611774563094,task1.py
k,L,,133,1611774563095,task1.py
e, ,,133,1611774563220,task1.py
k, ,,134,1611774563221,task1.py
e,$,,134,1611774564742,task1.py
k,$,,135,1611774564743,task1.py
a,Right,,,1611774565311,task1.py
a,Right,,,1611774565519,task1.py
a,Right,,,1611774565738,task1.py
a,Enter,,,1611774567918,task1.py
e,"
",,138,1611774567929,task1.py
e,a,,139,1611774581224,task1.py
k,a,,140,1611774581225,task1.py
e,n,,140,1611774581307,task1.py
k,n,,141,1611774581314,task1.py
a,Backspace,,,1611774581667,task1.py
e,,n,140,1611774581675,task1.py
a,Backspace,,,1611774582106,task1.py
e,,a,139,1611774582112,task1.py
e,A,,139,1611774583286,task1.py
k,A,,140,1611774583287,task1.py
a,Backspace,,,1611774583804,task1.py
e,,A,139,1611774583813,task1.py
e,i,,139,1611774584999,task1.py
k,i,,140,1611774585000,task1.py
e,n,,140,1611774585044,task1.py
k,n,,141,1611774585045,task1.py
e,t,,141,1611774585106,task1.py
k,t,,142,1611774585113,task1.py
e,e,,142,1611774585242,task1.py
k,e,,143,1611774585251,task1.py
e,r,,143,1611774585333,task1.py
k,r,,144,1611774585334,task1.py
e,e,,144,1611774585521,task1.py
k,e,,145,1611774585522,task1.py
e,s,,145,1611774585605,task1.py
k,s,,146,1611774585606,task1.py
e,t,,146,1611774585669,task1.py
k,t,,147,1611774585670,task1.py
a,Backspace,,,1611774586000,task1.py
e,,t,146,1611774586007,task1.py
a,Backspace,,,1611774586143,task1.py
e,,s,145,1611774586152,task1.py
a,Backspace,,,1611774586306,task1.py
e,,e,144,1611774586313,task1.py
a,Backspace,,,1611774586487,task1.py
e,,r,143,1611774586494,task1.py
a,Backspace,,,1611774586691,task1.py
e,,e,142,1611774586697,task1.py
e,e,,142,1611774587680,task1.py
k,e,,143,1611774587681,task1.py
e,r,,143,1611774589290,task1.py
k,r,,144,1611774589291,task1.py
e,e,,144,1611774589402,task1.py
k,e,,145,1611774589403,task1.py
e,s,,145,1611774589475,task1.py
k,s,,146,1611774589475,task1.py
e,t,,146,1611774589606,task1.py
k,t,,147,1611774589607,task1.py
e, ,,147,1611774590236,task1.py
k, ,,148,1611774590236,task1.py
e,=,,148,1611774590390,task1.py
k,=,,149,1611774590391,task1.py
e, ,,149,1611774590633,task1.py
k, ,,150,1611774590633,task1.py
e,i,,150,1611774591211,task1.py
k,i,,151,1611774591212,task1.py
e,n,,151,1611774591254,task1.py
k,n,,152,1611774591255,task1.py
e,p,,152,1611774591363,task1.py
k,p,,153,1611774591369,task1.py
e,u,,153,1611774591476,task1.py
k,u,,154,1611774591481,task1.py
e,t,,154,1611774591566,task1.py
k,t,,155,1611774591571,task1.py
e,(,,155,1611774592254,task1.py
e,),,156,1611774592263,task1.py
k,(,,156,1611774592264,task1.py
e,f,,156,1611774593760,task1.py
k,f,,157,1611774593761,task1.py
e,l,,157,1611774593777,task1.py
k,l,,158,1611774593778,task1.py
e,o,,158,1611774593934,task1.py
k,o,,159,1611774593940,task1.py
e,a,,159,1611774593994,task1.py
k,a,,160,1611774593999,task1.py
e,t,,160,1611774594062,task1.py
k,t,,161,1611774594070,task1.py
e,(,,161,1611774594793,task1.py
e,),,163,1611774594802,task1.py
k,(,,162,1611774594803,task1.py
e,A,,162,1611774597793,task1.py
k,A,,163,1611774597794,task1.py
e,n,,163,1611774597905,task1.py
k,n,,164,1611774597913,task1.py
e,n,,164,1611774598186,task1.py
k,n,,165,1611774598193,task1.py
e,u,,165,1611774599677,task1.py
k,u,,166,1611774599679,task1.py
e,a,,166,1611774599796,task1.py
k,a,,167,1611774599796,task1.py
e,l,,167,1611774599862,task1.py
k,l,,168,1611774599862,task1.py
e, ,,168,1611774599970,task1.py
k, ,,169,1611774599971,task1.py
e,I,,169,1611774600472,task1.py
k,I,,170,1611774600473,task1.py
e,n,,170,1611774600681,task1.py
k,n,,171,1611774600688,task1.py
e,t,,171,1611774600748,task1.py
k,t,,172,1611774600756,task1.py
e,r,,172,1611774600837,task1.py
k,r,,173,1611774600846,task1.py
e,e,,173,1611774600951,task1.py
k,e,,174,1611774600952,task1.py
a,Backspace,,,1611774601589,task1.py
e,,e,173,1611774601595,task1.py
a,Backspace,,,1611774601757,task1.py
e,,r,172,1611774601764,task1.py
e,e,,172,1611774604083,task1.py
k,e,,173,1611774604085,task1.py
e,r,,173,1611774604263,task1.py
k,r,,174,1611774604267,task1.py
e,s,,174,1611774604425,task1.py
k,s,,175,1611774604432,task1.py
a,Backspace,,,1611774604849,task1.py
e,,s,174,1611774604855,task1.py
a,Backspace,,,1611774605794,task1.py
